QuestionID,Domain,DomainName,Difficulty,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer,Explanation,CorrectReason,WrongReasonA,WrongReasonB,WrongReasonC,WrongReasonD,RelatedControl,Tags,ActiveFlag,CreatedDate
Q-D1-0001,1,AIガバナンスとプログラム管理,Medium,ある金融機関がAIによる不正検知システムを本番稼働させようとしているが、AIがどのように不正と判断しているかの意思決定プロセスを文書化していない。このような状況でAIガバナンスポリシーが最も必要とされる主たる理由は何か。,規制コンプライアンス（説明可能性が法的に要求されるため）,運用リスクの低減,監査準備の効率化,顧客の信頼確保,A,金融機関は厳格な規制の下にあり、顧客に影響を与えうるAIの意思決定は説明可能（explainable）であることが法的に求められる。決定根拠を文書化できなければ重大な規制上の罰則を招く。これは単なるベストプラクティスではなく法的必須要件であり、ガバナンスポリシーは稼働前に整備されていなければならない。運用リスクや顧客信頼も関連するが、稼働前に第一に解決すべきは規制対応である。,規制対応（説明可能性の確保）が稼働前に整備すべき最優先事項である。,正解,運用リスクも関係するが、この場面で稼働前に最優先となる法的駆動要因ではない,監査準備は結果として得られる利点であり、根本理由ではない,顧客信頼は重要だが、規制上の説明可能性要求が一次的な駆動要因である,"EU AI Act, GDPR, NIST AI RMF","規制コンプライアンス,説明可能性,金融,不正検知,AIガバナンス",1,2026-06-23
Q-D1-0002,1,AIガバナンスとプログラム管理,Easy,AIソリューションの手順（procedure）に必ず含めるべき重要な構成要素はどれか。,人間による監督と検証（human oversight and validation）,人気のあるオープンソースアルゴリズムの使用,文書化の最小化,知的財産保護のための透明性の回避,A,AIは強力だが万能ではなく、特に現実世界に影響する判断では人間が関与して倫理的妥当性を担保し、機械が見落とすバイアスや誤りを検出・是正する必要がある。人間の監督はAIを用いるあらゆる手順に組み込まれるべき基本要素である。AIの効率性と人間の判断・説明責任を組み合わせることが要点となる。,人間の監督と検証はAI手順に組み込むべき基本要素である。,正解,オープンソースの利用は監督の代替にならない,文書化の最小化は透明性と説明責任を損なう,透明性の回避は規制要求とトラスト確保に反する,"NIST AI RMF, EU AI Act (Human oversight), ISO/IEC 42001","人間の監督,検証,倫理,責任あるAI,ヒューマンインザループ",1,2026-06-23
Q-D1-0003,1,AIガバナンスとプログラム管理,Medium,多国籍企業がAIで求人応募を選別している。このシナリオにおいてAIシステムの説明可能性（explainability）を確保する主たる目的は何か。,採用慣行を時間とともに改善すること,採用判断における透明性を高めること,法令・規制コンプライアンスを支援すること,監査可能性を支援すること,B,ソースでは、HR文脈における説明可能性の主目的は、AIの意思決定プロセスを透明にし、人事担当者や採用マネージャーがなぜ選択／不採用となったのかを理解できるようにすることとされる。これにより採用プロセスへの信頼と公平性が育まれる。法令遵守は重要な便益だが、このHR文脈では透明性の促進が一次的な目的である。,HR文脈では説明可能性の主目的は採用判断の透明性向上である。,改善は副次的効果であり一次目的ではない,正解,法令遵守は便益だが、このシナリオの主目的ではない,監査可能性は付随する利点であり一次目的ではない,"EU AI Act, GDPR, NIST AI RMF","説明可能性,透明性,採用AI,信頼,公平性",1,2026-06-23
Q-D1-0004,1,AIガバナンスとプログラム管理,Medium,AIシステムの出力の透明性と監査可能性を高めるために組織が取るべき最善の行動はどれか。,ユーザーの活動を監視する,ユーザーにモデル出力への完全なアクセスを与える,根拠・使用データ・影響に整合した統制を実装する,ガバナンス担当者にモデルアクセスの共有権限を与える,C,最善の行動は、判断の根拠（rationale）・使用されたデータ・AIの判断がもたらす影響に整合した統制を実装することである。これらは単に何が起きたかを記録するだけでなく、なぜそうなったかを構造化して説明し、判断を追跡可能・監査可能にする。説明可能性を出力そのものに埋め込む点が要点であり、単なるログ取得とは異なる。,根拠・データ・影響に整合した統制により、なぜを構造的に説明し監査可能にする。,活動監視は出力の根拠説明には直結しない,出力への完全アクセスは透明性ではなく統制の欠如を招く,正解,アクセス共有権限は透明性・監査可能性の本質ではない,"NIST AI RMF, ISO/IEC 42001","監査可能性,透明性,統制,説明可能性,トレーサビリティ",1,2026-06-23
Q-D1-0005,1,AIガバナンスとプログラム管理,Medium,多数の異なるAI規制が各国に存在するグローバル企業が、各管轄区域で法的・倫理的整合を保つための最善のアプローチはどれか。,グローバルな規制の収斂を待つ,地理的プレゼンスに基づき地域・国際規制を内部ガバナンスポリシーにマッピングする,地域規制のみに焦点を当てる,AIを内部システムに限定する,B,グローバルな規制収斂を待つのは非現実的で技術進展に追いつけない。最善策は、自社が事業展開する各地域・国際規制を内部ガバナンスポリシーにマッピングし、能動的に取り込むことである。これによりコンプライアンス・倫理的整合・各管轄での監査対応が確保される。外部の統一を待つのではなく内部で調和させる、能動的な姿勢が要点である。,各管轄の規制を内部ポリシーにマッピングし能動的に整合を図る。,収斂を待つのは非現実的でイノベーションを遅らせる,正解,地域規制のみへの限定はグローバル展開で不十分,AIを内部限定するのは事業的に非現実的で根本対応でない,"EU AI Act, GDPR, NIST AI RMF, ISO/IEC 42001","規制マッピング,管轄区域,グローバル,内部ポリシー,コンプライアンス",1,2026-06-23
Q-D1-0006,1,AIガバナンスとプログラム管理,Medium,企業全体の多様なAIイニシアチブにわたって説明責任と倫理的監督を最もよく確保するものはどれか。,AIガバナンスを外部委託する,全従業員に倫理研修を義務付ける,技術ツールで監督を自動化する,AI利用のためのガバナンスフレームワークを定義する,D,正式なガバナンスフレームワークは、意思決定・ポリシー管理・監督に関する役割と責任を明確に割り当て、組織全体で一貫した責任ある倫理的なAI利用を促進する。研修やツール単体よりも構造的であり、説明責任を駆動する土台となる。明確な枠組みがなければ、善意があっても運用は一貫性を欠き、所有権が不明確になる。,正式なガバナンスフレームワークが役割・責任を定め、組織横断の説明責任を担保する。,外部委託は組織内の説明責任を確立しない,研修は重要だが構造的な枠組みの代替にならない,ツールによる自動化だけでは役割・責任を定義できない,正解,"ISO/IEC 42001, NIST AI RMF","ガバナンスフレームワーク,説明責任,役割と責任,倫理的監督,エンタープライズ",1,2026-06-23
Q-D1-0007,1,AIガバナンスとプログラム管理,Medium,規制の厳しい組織が機微で重要な業務領域にAI活用を拡大している。AIイニシアチブを事業目標と倫理基準の双方に整合させる最善の行動はどれか。,AIステアリングコミッティを設置する,AIで改善できる非効率を特定する,AIシステムのメトリクスを監視する,AIの問題報告を奨励する,A,最も効果的なのは、法務・IT・事業部門・倫理など多様なステークホルダーから成るAIステアリングコミッティを設置することである。委員会はAIプロジェクトが事業戦略を前進させ、規制要件を満たし、人間への影響に関する倫理的懸念に対処することに責任を負う。高レベルかつ部門横断的な監督と戦略的方向付けを提供する点が要点である。,部門横断のステアリングコミッティが戦略的方向付けと監督を提供する。,正解,非効率の特定は有用だが戦略・倫理整合の中核的仕組みではない,メトリクス監視は監督の一部だが戦略的整合を保証しない,問題報告の奨励は重要だが高レベルの監督体制にはならない,"ISO/IEC 42001, NIST AI RMF, EU AI Act","ステアリングコミッティ,戦略的整合,部門横断,規制,倫理基準",1,2026-06-23
Q-D1-0008,1,AIガバナンスとプログラム管理,Medium,ある企業が昨年AIツールを導入し、現在は生成AIの利用を拡大している。既存のAIポリシーを見直し更新すべき最も重要な理由はどれか。,新しい従業員が加わったため,大半のスタッフがポリシーを読んでいないため,規制と技術の環境が急速に進化するため,これまで大きなインシデントが起きていないため,C,最も重要な理由は、AIを取り巻く規制と技術の環境が極めて速く進化することである。特に生成AIの登場で技術もリスクも法律も急変するため、AIポリシーは一度作って終わりの静的文書ではなく、定期的に見直し・更新すべき「生きた文書」である。更新を怠ればコンプライアンスギャップや時代遅れの慣行というリスクを生む。,規制・技術環境が急速に変化するためポリシーは継続的に更新が必要である。,新規従業員は更新理由の一つだが最重要ではない,未読は研修・周知の課題でありポリシー更新の主要理由ではない,正解,インシデント未発生はむしろ油断を招き、更新不要の根拠にならない,"NIST AI RMF, EU AI Act, ISO/IEC 42001","AIポリシー,生成AI,ポリシー更新,規制変化,継続適応",1,2026-06-23
Q-D1-0009,1,AIガバナンスとプログラム管理,Medium,AIレコメンデーションエンジンを内製するか外部から調達するか（build vs buy）を判断する際、最も重視すべき要素はどれか。,AIツールキットの可用性,事業ニーズとの戦略的整合,競合のタイムラインへの追随,予算の利用可能性,B,最も重要なのは、事業ニーズとの戦略的整合である。ツール・タイムライン・予算も要素ではあるが二次的であり、まず「そのAIソリューションが自社の長期的な事業戦略・目標に合致するか」を問う必要がある。戦略的に適合しなければ、技術がいかに優れていても安価でも長期的に正しい選択とは言えない。戦略優先（strategy first）が要点である。,build/buyの第一判断軸は長期事業戦略との適合である。,ツールの可用性は二次的要素にすぎない,正解,競合追随は短期的要因であり戦略適合に劣後する,予算は考慮要素だが戦略適合が優先される,"NIST AI RMF, ISO/IEC 42001","build vs buy,戦略的整合,レコメンデーション,調達,長期価値",1,2026-06-23
Q-D1-0010,1,AIガバナンスとプログラム管理,Easy,従業員に生成AIアシスタント（業務用ChatGPT等）を提供する企業が、責任ある利用を確保するために最初に取るべき行動はどれか。,ログイン時に全員へ利用規約への同意を求める,全クエリを継続的に監視する,ターゲットを絞った研修と利用許諾ポリシー（AUP）を提供する,定期的に注意喚起メールを送る,C,最初に行うべき最重要ステップは、利用許諾ポリシー（AUP）を含むターゲット研修の提供である。広く使い始める前に、何に使ってよいか、どのデータが機微で投入してはならないか、どんな振る舞いが期待されるかを理解させる必要がある。研修と明確なAUPにより初日からガードレールを設定でき、誤用を大幅に低減し倫理的AI原則と整合する。,研修とAUPで利用範囲とデータ感度を事前に理解させることが最初の一手である。,規約同意だけでは理解を伴わず誤用を防げない,事後監視は教育・ルール提供の代替にならない,正解,注意喚起メールは補助的で、体系的な研修・ポリシーに劣る,"NIST AI RMF, ISO/IEC 42001","生成AI,AUP,従業員研修,責任ある利用,ガードレール",1,2026-06-23
